pid,post_ts,pre_ts
3405,201811,201710
32575,201905,201611
7058,201905,201806
18261,201905,201804
29709,201808,201801
30749,201903,201804
1587,201905,201801
7779,201904,201709
5675,201905,201805
413,201903,201805
34905,201905,201702
7232,201904,201805
5311,201905,201805
29702,201901,201710
189,201904,201802
15579,201905,201801
2050,201904,201710
2977,201903,201711
7393,201905,201711
6969,201905,201710
13266,201811,201711
13041,201905,201705
3926,201903,201712
1099,201905,201806
4419,201904,201805
6669,201904,201805
3227,201905,201703
9661,201903,201811
7196,201904,201804
329,201905,201801
1010,201902,201710
16304,201902,201707
32867,201901,201801
11625,201903,201805
9946,201905,201804
23138,201810,201710
23018,201811,201806
2674,201905,201805
359,201905,201806
1317,201905,201707
11280,201905,201806
7800,201903,201804
9865,201808,201803
1996,201903,201604
33682,201807,201801
34995,201808,201706
4012,201903,201802
11901,201812,201706
7019,201904,201604
6468,201904,201711
8429,201905,201703
7200,201905,201805
2146,201905,201805
6685,201905,201806
29891,201809,201803
7604,201905,201802
1197,201905,201807
6870,201903,201709
276,201904,201805
19009,201904,201806
5111,201904,201807
3221,201905,201805
6344,201905,201806
305,201905,201802
19437,201901,201706
1116,201905,201806
13268,201905,201804
190,201905,201805
16474,201902,201706
7199,201904,201711
13262,201904,201703
6863,201809,201707
913,201905,201808
6687,201904,201604
33622,201809,201701
9541,201904,201707
1132,201810,201801
18181,201904,201610
33805,201905,201804
31523,201901,201805
7072,201905,201702
17030,201805,201805
9782,201904,201806
7758,201905,201904
7378,201905,201707
31944,201904,201808
7377,201904,201805
27946,201901,201802
16491,201805,201805
12589,201808,201804
3713,201904,201711
26643,201901,201706
32834,201905,201711
7557,201905,201805
171,201905,201805
122,201905,201802
1400,201903,201805
7171,201905,201806
1583,201904,201710
7441,201905,201806
7299,201903,201805
1374,201904,201804
11370,201905,201805
15032,201903,201805
6587,201904,201806
10076,201810,201806
1635,201905,201711
15936,201905,201610
33703,201812,201804
12715,201902,201805
34673,201808,201805
7094,201904,201704
1472,201808,201706
7348,201905,201711
25477,201905,201806
32634,201903,201809
12996,201809,201711
3744,201905,201805
1153,201806,201804
29063,201901,201703
6500,201905,201803
1795,201903,201808
3710,201905,201710
643,201905,201707
7521,201904,201706
1966,201905,201711
7286,201904,201806
2234,201811,201801
34620,201809,201610
496,201810,201804
6879,201903,201805
1141,201905,201805
1391,201905,201707
7839,201904,201802
10032,201905,201805
368,201905,201805
33460,201905,201806
33871,201812,201805
9451,201903,201806
27964,201904,201804
4033,201903,201611
12939,201904,201805
29095,201905,201610
1527,201905,201805
32735,201905,201806
2550,201905,201805
14430,201905,201805
13048,201904,201806
9834,201903,201610
6524,201905,201802
6716,201904,201711
22906,201904,201808
23017,201905,201803
15598,201905,201902
6738,201905,201805
12662,201903,201805
12938,201904,201807
11363,201904,201802
10152,201904,201807
962,201903,201805
26,201905,201805
16928,201903,201610
6861,201901,201704
11227,201808,201706
5404,201904,201805
1218,201809,201611
12444,201904,201806
13247,201809,201702
2970,201905,201805
327,201905,201805
971,201904,201903
297,201807,201703
13282,201904,201611
21938,201905,201711
3476,201805,201805
23184,201905,201611
18696,201809,201708
25067,201905,201604
20244,201905,201804
1526,201809,201601
1386,201905,201706
8794,201903,201809
17876,201905,201806
1962,201902,201711
6895,201904,201805
1164,201904,201806
19363,201905,201806
2174,201905,201712
13126,201905,201805
549,201904,201709
25389,201905,201902
12677,201903,201711
17303,201904,201808
2815,201905,201705
25562,201811,201710
26729,201902,201707
2184,201904,201702
12636,201901,201703
32655,201905,201612
266,201902,201802
34826,201903,201607
7076,201904,201802
2517,201905,201711
6830,201905,201710
13298,201805,201805
1882,201903,201802
2789,201905,201805
33530,201904,201707
6718,201905,201705
34956,201904,201806
7413,201904,201712
24446,201904,201706
2376,201905,201902
5971,201904,201706
16307,201903,201607
11592,201902,201806
607,201905,201706
3859,201905,201708
9628,201904,201805
9831,201903,201802
13403,201905,201812
11239,201904,201801
7395,201807,201802
7452,201905,201805
2251,201903,201710
26655,201904,201701
23150,201904,201605
3624,201905,201805
33675,201903,201801
14901,201902,201711
1891,201904,201812
16654,201903,201710
12680,201811,201712
7754,201904,201810
1902,201903,201712
26533,201905,201803
353,201904,201812
7686,201903,201805
25885,201904,201706
518,201812,201806
267,201810,201804
1955,201902,201610
17463,201905,201612
72,201905,201805
23179,201904,201805
9499,201808,201801
9399,201904,201805
18999,201903,201806
33323,201901,201804
13078,201809,201712
9013,201903,201805
1982,201902,201803
1801,201905,201704
34833,201812,201604
1492,201905,201805
14650,201905,201805
17034,201810,201605
34998,201810,201806
1928,201903,201801
1508,201903,201606
667,201808,201804
5808,201905,201806
10109,201904,201711
25208,201905,201712
34881,201904,201802
1812,201905,201805
11567,201905,201805
19368,201809,201702
16452,201904,201801
1664,201905,201804
26648,201905,201808
7752,201904,201705
18324,201904,201709
27518,201904,201806
23039,201901,201804
1004,201810,201806
11008,201905,201612
1616,201904,201805
17079,201905,201806
20165,201808,201801
4854,201903,201802
7828,201901,201604
10508,201808,201707
2651,201904,201706
6747,201905,201804
1379,201903,201803
11137,201805,201805
3111,201905,201801
10268,201903,201610
906,201905,201804
7423,201904,201808
12753,201903,201805
22856,201808,201712
17222,201808,201601
1658,201904,201711
711,201905,201804
568,201905,201703
31092,201905,201804
6967,201903,201612
8751,201904,201806
12997,201904,201707
16889,201903,201806
34550,201903,201705
10412,201905,201805
29874,201905,201805
18012,201905,201806
10169,201903,201802
850,201905,201806
6578,201904,201805
362,201903,201602
9709,201905,201806
15923,201901,201712
7208,201905,201806
7515,201905,201707
4242,201905,201802
13464,201904,201805
27912,201904,201806
23142,201903,201805
29825,201904,201806
1442,201905,201805
4286,201810,201601
738,201905,201804
909,201810,201712
1126,201904,201801
1193,201901,201712
627,201901,201804
26714,201903,201608
7355,201904,201711
12983,201904,201804
7738,201905,201805
1295,201904,201806
1817,201905,201902
5587,201901,201802
7157,201904,201804
139,201905,201808
16864,201904,201809
718,201905,201805
13004,201806,201804
15488,201903,201602
13124,201905,201802
5792,201809,201803
7204,201905,201806
29792,201905,201803
23270,201904,201805
2497,201905,201806
9294,201810,201601
1895,201905,201812
12637,201905,201810
6566,201905,201812
3205,201902,201804
2145,201905,201805
12034,201903,201801
7524,201903,201801
33122,201905,201805
7536,201905,201709
8225,201905,201811
9688,201905,201606
13366,201905,201804
10024,201805,201805
22031,201905,201805
32865,201904,201806
23255,201812,201806
7695,201905,201805
6772,201903,201805
7824,201904,201804
13330,201905,201806
7016,201904,201712
27086,201805,201805
32,201905,201805
891,201905,201805
7625,201905,201804
6589,201807,201805
7152,201904,201801
6502,201903,201702
13523,201904,201801
9718,201810,201706
7683,201904,201710
7759,201903,201709
18794,201905,201806
50,201905,201805
10282,201808,201706
17071,201808,201712
6515,201903,201706
27394,201904,201707
2969,201905,201805
7268,201811,201710
1541,201904,201806
10946,201905,201703
17729,201807,201806
