pid,post_ts,pre_ts,policy_url
3405,201811,201710,https://www.narcity.com/privacy-policy
32575,201905,201611,https://www.enjin.com/privacy
7058,201905,201806,http://www.hearst.com/newsroom/us-magazines-privacy-notice
18261,201905,201804,https://medium.com/policy/medium-privacy-policy-f03bf92035c9
29709,201808,201801,https://dotapicker.com/privacy
30749,201903,201804,https://www.kikocosmetics.com/en-us/secure-purchases/privacy-policy.html
1587,201905,201801,https://global.oup.com/privacy?cc=us
7779,201904,201709,https://getintopc.com/privacy-policy/
5675,201905,201805,https://www.ifixit.com/Info/Privacy
413,201903,201805,https://en.savefrom.net/privacy-policy.html
34905,201905,201702,https://www.maistra.com/other/privacy-policy
7232,201904,201805,https://www.fmscout.com/a-privacy_policy.html
5311,201905,201805,https://www.futureplc.com/privacy-policy/
29702,201901,201710,https://www.plunet.com/en/privacy-statement/
189,201904,201802,https://www.strava.com/legal/privacy
15579,201905,201801,https://www.nsaneforums.com/privacy/
2050,201904,201710,https://www.pcworld.co.uk/gbuk/privacy-on-pc-world-157-commercial.html
2977,201903,201711,https://www.extremetube.com/information?page=privacy
7393,201905,201711,https://www.findmypast.co.uk/content/privacy-policy
6969,201905,201710,https://www.musicmagpie.co.uk/privacy-policy/
13266,201811,201711,https://www.budgettravel.ie/info/privacy.aspx
13041,201905,201705,https://www.computershare.com/us/privacy
3926,201903,201712,https://ezgif.com/privacy
1099,201905,201806,https://accounts.motorsportnetwork.com/legal/privacy-policy
4419,201904,201805,https://www.prothomalo.com/privacy
6669,201904,201805,https://www.nationaltrust.org.uk/features/privacy-policy
3227,201905,201703,https://www.cisco.com/c/en/us/about/legal/privacy-full.html
9661,201903,201811,https://www.cyprusalive.com/en/privacy-policy
7196,201904,201804,https://www.salford.ac.uk/privacy
329,201905,201801,https://www.grammarly.com/privacy-policy
1010,201902,201710,https://na.leagueoflegends.com/en/legal/privacy
16304,201902,201707,https://www.win-rar.com/cookies.html
32867,201901,201801,https://www.natashaclub.com/privacy.html
11625,201903,201805,https://www.rug.nl/info/disclaimer
9946,201905,201804,https://www.oculus.com/legal/privacy-policy/
23138,201810,201710,https://www.imcbill.com/privacy/
23018,201811,201806,https://citysquares.com/privacy
2674,201905,201805,https://www.thetradedesk.com/general/privacy-policy
359,201905,201806,https://www.comicbookmovie.com/about/privacy/
1317,201905,201707,https://www.sophos.com/en-us/legal/sophos-group-privacy-policy.aspx
11280,201905,201806,https://hypixel.net/help/privacy-policy
7800,201903,201804,https://www.football.london/privacy-policy/
9865,201808,201803,https://www.nup.ac.cy/privacy-statement-2/
1996,201903,201604,http://www.lesbian8.com/static/privacy/
33682,201807,201801,https://btcheat.com/privacy.php
34995,201808,201706,https://www.msc.com/che/privacy-policy
4012,201903,201802,https://www.idg.co.uk/terms-and-conditions/privacy-policy/
11901,201812,201706,https://www.solaredge.com/privacy-policy
7019,201904,201604,https://www.scotrail.co.uk/privacy-policy
6468,201904,201711,https://www.metoffice.gov.uk/about-us/legal/privacy
8429,201905,201703,https://fortinet.com/corporate/about-us/privacy.html
7200,201905,201805,https://www.icims.com/legal/privacy-policy-website/
2146,201905,201805,https://www.irishtimes.com/policy-and-terms/privacy-policy
6685,201905,201806,https://www.thenews.com.pk/privay-policy
29891,201809,201803,https://www.notizie.it/privacy-policy/
7604,201905,201802,https://www.novelupdates.com/privacy-policy/
1197,201905,201807,https://real-debrid.com/privacy
6870,201903,201709,https://www.skiddle.com/terms/privacy.php
276,201904,201805,https://www.shutterstock.com/privacy
19009,201904,201806,https://www.sunporno.com/pages/policy.html
5111,201904,201807,https://www.familysearch.org/privacy
3221,201905,201805,https://www.washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html
6344,201905,201806,https://anilos.com/page/privacy_policy
305,201905,201802,https://www.miniclip.com/games/page/en/privacy-policy/
19437,201901,201706,http://arti-media.net/privacy-policy/
1116,201905,201806,https://www.sportsmole.co.uk/about/privacy/
13268,201905,201804,https://mailchimp.com/legal/privacy/
190,201905,201805,https://genius.com/static/privacy_policy
16474,201902,201706,https://meetfighters.com/privacy
7199,201904,201711,https://www.bankofamerica.com/privacy/faq/online-privacy-faq.go?request_locale=en_US
13262,201904,201703,https://www.coingecko.com/en/privacy
6863,201809,201707,https://www.travisperkins.co.uk/privacyPolicy
913,201905,201808,https://www.rightmove.co.uk/this-site/privacy-policy.html
6687,201904,201604,https://www.carwow.co.uk/privacy-policy
33622,201809,201701,https://pixieset.com/privacy/
9541,201904,201707,https://booksrun.com/page/privacy-policy
1132,201810,201801,https://www.aupair.com/en/p-privacy-policy.php
18181,201904,201610,https://www.busbud.com/en/about/privacy
33805,201905,201804,https://www.python.org/privacy/
31523,201901,201805,https://www.asiandate.com/privacy-policy.html
7072,201905,201702,https://betway.com/policies/privacy/
17030,201805,201805,https://www.xmeeting.com/site/privacy
9782,201904,201806,https://umuc.edu/terms-and-conditions/privacy-policy.cfm
7758,201905,201904,https://www.nzme.co.nz/about-us/privacy-policy/
7378,201905,201707,https://www.nudevista.com/privacy-policy/
31944,201904,201808,https://zighzag.com/privacy
7377,201904,201805,https://southwesternrailway.com/privacy-policy
27946,201901,201802,https://torchbrowser.com/privacy
16491,201805,201805,http://www.tubezx.com/info/#privacy
12589,201808,201804,http://fileflares.com/privacy-policy.html
3713,201904,201711,https://www.3ds.com/privacy-policy/
26643,201901,201706,https://bddatabase.net/us/privacy/
32834,201905,201711,https://www.freshworks.com/privacy/
7557,201905,201805,https://www.thomsonreuters.com/en/privacy-statement.html
171,201905,201805,https://weather.com/en-US/twc/privacy-policy
122,201905,201802,https://www.dictionary.com/e/terms/
1400,201903,201805,https://www.ccleaner.com/about/privacy-policy
7171,201905,201806,https://network.aljazeera.com/privacy/en
1583,201904,201710,https://www.prettylittlething.com/privacy-policy
7441,201905,201806,https://www.codeproject.com/info/privacy.aspx
7299,201903,201805,https://www.condenast.com/privacy-policy/
1374,201904,201804,https://www.purewow.com/entry_name/national/privacy.htm
11370,201905,201805,https://www.neoseeker.com/info/privacy.html
15032,201903,201805,https://truckersmp.com/policy
6587,201904,201806,https://www.carphonewarehouse.com/terms-and-conditions/privacy-policy.html
10076,201810,201806,https://cytoday.eu/index.php?id=13
1635,201905,201711,https://www.trustedmediabrands.com/privacy-policy/
15936,201905,201610,https://kizi.com/privacy
33703,201812,201804,http://aeroportolisboa.pt/#modal-policy
12715,201902,201805,http://rsa.ie/Utility/Privacy/
34673,201808,201805,http://mtdproducts.eu/Corporate_Policy.aspx
7094,201904,201704,https://www3.rgu.ac.uk/footer/privacy-and-cookie-statement/privacy-and-cookie-statement
1472,201808,201706,https://www.kavokerr.com/privacy
7348,201905,201711,https://www.tripsavvy.com/legal#privacy
25477,201905,201806,http://www.wikidot.com/legal:privacy-policy
32634,201903,201809,https://umbraco.com/about-us/privacy/
12996,201809,201711,https://www.bigredcloud.com/privacy/
3744,201905,201805,https://www.thetradedesk.com/general/privacy-policy
1153,201806,201804,https://deal.com.mt/component/content/article/92.html
29063,201901,201703,https://wp-livechat.com/privacy-policy/
6500,201905,201803,http://www.open.ac.uk/about/main/strategy-and-policies/policies-and-statements/website-privacy-ou
1795,201903,201808,https://www.flipkart.com/pages/privacypolicy?otracker=undefined_footer_navlinks
3710,201905,201710,https://www.harvard.edu/privacy-statement
643,201905,201707,https://www.iol.co.za/privacy-policy
7521,201904,201706,https://www.allsaints.com/privacy_policy/
1966,201905,201711,https://omegle.com/static/privacy.html
