pid,post_ts,pre_ts,policy_url
2194,201903,201805,https://www.desiringgod.org/privacy-policy
2029,201905,201805,https://www.ams.org/about-us/privacy
2128,201810,201601,https://booklocker.com/privacy.html
3270,201811,201712,https://www.methodisthealth.org/about-us/legal/methodist-healthcare-privacy-practices.dot
3123,201904,201710,https://www.atkins.com/privacy-policy
2913,201904,201702,https://www.colorado.edu/policies/privacy-statement
2436,201904,201804,https://www.phnompenhpost.com/privacy-policy
632,201904,201702,https://www.polleverywhere.com/privacy-policy
463,201905,201706,https://hpb.com/privacy-policy
487,201904,201709,https://www.landrover.com.au/privacy-policy.html
502,201903,201710,https://www.pasadena.edu/privacy.php
3635,201904,201711,https://www.jeopardy.com/canadianprivacyaddendum
429,201812,201708,https://www.syvum.com/legal/privacy.html
3297,201905,201709,https://www.elavon.com/privacy-pledge.html
993,201808,201706,https://www.thomascookairlines.com/en/our-company/privacy-policy.jsp
125,201905,201805,https://www.zavvi.com/articles/privacy-policy.list
1105,201810,201804,https://www.skiwhitetail.com/content/privacy-policy
3634,201905,201806,https://www.fnb.co.za/about-fnb/legal-matters/privacy-policy.html#slide4
612,201905,201710,https://www.evo.com/what-is-your-privacy-policy
425,201905,201806,https://www.tradingeconomics.com/privacy-policy.aspx
469,201904,201810,https://www.betterhealth.vic.gov.au/about/privacy
417,201904,201804,https://www.al-islam.org/privacy
3088,201905,201806,https://www.clubcorp.com/Legal/Privacy
1214,201903,201609,https://www.go-hiho.com/pages/privacy-policy
2119,201904,201707,https://line6.com/privacypolicy.html
647,201903,201805,https://www.disneyclips.com/privacy.html
2244,201901,201806,https://imslp.org/wiki/IMSLP:Privacy_policy
1111,201904,201709,http://www.carrotmuseum.co.uk/policy.html
1694,201903,201801,https://www.football-italia.net/policy/privacy
3074,201904,201806,https://www.containerstore.com/help/privacy.html
1278,201903,201803,https://www.mymoneyblog.com/privacy-policy
1275,201904,201805,https://www.malaysia-today.net/privacy-policy/
3422,201807,201705,https://www.wewanttraffic.com/privacy
3296,201904,201710,https://www.dawsons.co.uk/privacy-policy/
3172,201904,201805,https://www.newcastle.edu.au/privacy
3354,201903,201804,https://www.ligonier.org/privacy-policy/#cookies
2884,201905,201806,https://www.babypips.com/privacy
1323,201903,201711,https://www.gurufocus.com/Privacy_policy.htm
1109,201905,201806,https://fashionista.com/page/privacy-policy
3481,201812,201612,https://www.studentuniverse.com/students/privacy-policy
673,201904,201805,https://www.inboxdollars.com/pages/privacy
528,201903,201708,http://www.questdiagnostics.com/home/privacy-policy/online-privacy.html
760,201905,201707,https://birdsna.org/Species-Account/bna/support/privacy
1810,201903,201805,https://www.dsr.wa.gov.au/site-elements/privacy
3610,201808,201707,https://www.clonezonedirect.co.uk/privacy
2007,201903,201701,http://www.courts.state.ny.us/privacy/index.shtml
2363,201904,201902,https://news4sanantonio.com/station/privacy
79,201903,201611,https://www.originenergy.com.au/privacy.html
2759,201905,201806,https://www.ushmm.org/copyright-and-legal-information/privacy-policy
77,201904,201806,https://www.crayola.com/privacy.aspx
1487,201904,201807,https://bikez.com/about/privacy.php
1316,201904,201805,https://www.odmp.org/info/privacy-statement
902,201904,201606,http://www.manualsonline.com/privacy.html
3353,201903,201710,https://www.jdsupra.com/terms/privacy.aspx
1862,201806,201711,https://www.hw.ac.uk/about/policies/cookies.htm
853,201905,201805,https://www.interpublic.com/privacy-notice
1300,201811,201706,https://www.cerner.com/privacy
1474,201904,201711,https://www.boards.ie/content/privacy
2273,201812,201809,https://www.iplocation.net/privacy-policy
349,201902,201603,https://www.rush.edu/website-privacy-statement
1065,201904,201706,https://www.fredericksburg.com/site/terms.html/#privacy
2670,201904,201804,http://www.leeds.ac.uk/info/5000/about/237/privacy_notice
2058,201904,201802,https://www.islandpacket.com/customer-service/privacy-policy/#navlink=mi_footer
1312,201807,201801,http://pixeljoint.com/pixels/privacy.asp
1745,201905,201806,https://www.rainn.org/online-privacy-policy
3039,201905,201711,https://bitly.com/pages/privacy
2883,201903,201602,https://www.visarite.com/privacy.htm
2082,201901,201802,https://www.freedrinkingwater.com/privacy.htm
3178,201905,201601,https://www.inforum.com/privacy
2158,201903,201710,https://junebugweddings.com/privacy
1061,201905,201710,https://www.myfuture.com/privacy-policy
537,201903,201711,https://eecs.berkeley.edu/privacy-policy
883,201903,201707,https://www.studylight.org/site-info/privacypolicy.html
2513,201905,201805,https://www.joomla.org/privacy-policy.html
3526,201810,201708,https://www.flashcardmachine.com/about/privacy.cgi
3285,201905,201804,https://www.harlemglobetrotters.com/privacy-policy
1050,201903,201806,https://www.cartoonnetwork.com/legal/privacy.html
849,201905,201904,https://canadafreepress.com/privacy.htm
2944,201904,201708,https://www.bobvila.com/pages/privacy-policy
3155,201905,201607,https://www.wwltv.com/privacy
2191,201903,201806,https://www.sydneywater.com.au/SW/Privacy/index.htm
3527,201904,201806,http://www.heavengames.com/privacystatement.shtml
3129,201905,201806,https://www.afro.who.int/privacy-policy
2069,201810,201806,http://consejo.bz/w3c/privacy.html
2709,201905,201609,https://www.nyc.gov/home/privacy-policy.page
470,201810,201804,https://www.hrw.org/privacy-policy
2578,201904,201806,https://www.ninds.nih.gov/Privacy-Statement
1114,201811,201707,https://www.foxtons.co.uk/help/termsconditions.html#privacy
1177,201905,201805,https://www.tillys.com/customer-service/privacy-security/privacy-policy.html
192,201905,201705,https://www.foxbusiness.com/privacy-policy
571,201904,201806,https://www.mmogah.com/privacy-policy
2003,201904,201712,https://www.displays2go.com/Policy
3103,201904,201806,https://www.austintexas.gov/page/privacy-policy
863,201807,201604,https://www.tbs.com/privacy
1117,201810,201806,https://bdutyfree.com/privacy-policy
2961,201901,201603,https://www.canadianisp.ca/privacy.htm
2726,201905,201805,https://www.popsugar.com/privacy
1726,201902,201711,https://www.macmillan.org.uk/terms-and-conditions/privacy-policy.html#345244
3599,201905,201610,https://www.walgreens.com/topic/help/generalhelp/privacyandsecurity.jsp
2017,201904,201711,https://www.gear4music.com/information/privacy-and-cookies
733,201812,201709,https://www.mtggoldfish.com/policies/privacy
3035,201903,201804,https://www.avs4you.com/privacy.aspx
674,201808,201709,http://www.bigsight.jp/english/privacyStatement/
1764,201904,201710,https://www.sleepinginairports.net/privacy-policy.htm
3440,201809,201703,http://www.redfern.co.za/privacy-policy-cookie-restriction-mode
1811,201810,201709,https://www.chemicool.com/about.html#privacy
2985,201904,201802,https://www.asx.com.au/about/privacy-statement.htm
664,201903,201712,http://www.scrippsnetworksinteractive.com/privacy-policy/
363,201904,201708,https://www.ingenie.com/privacy-policy
3589,201811,201611,https://www.edfenergy.com/terms-conditions/privacy-cookie-policy
83,201905,201808,https://www.asqa.gov.au/about/accountability-and-reporting/privacy
644,201902,201710,https://www.shoemall.com/customer-service/faqs/detail/privacy-policy/_/A-1576
3572,201904,201712,https://www.warbyparker.com/privacy-policy
1832,201809,201802,https://www.fotolia.com/Info/Agreements/PrivacyPolicy
1291,201903,201710,https://www.epson.com.au/company/other/privacy_policy.asp
2321,201905,201806,http://www.abctransport.com/privacypolicy
1851,201904,201708,https://www.rugby.com.au/privacy-policy
2302,201903,201705,http://corporate.thestreet.com/privacy
1819,201903,201803,https://www.medentry.edu.au/privacy
3648,201905,201708,https://www.khon2.com/privacy-policy
2554,201903,201804,https://www.parcel2go.com/content/privacy-policy.aspx
2765,201904,201805,https://www.visitlondon.com/about-us/privacy
3107,201903,201805,https://company.wizards.com/legal/wizards-coasts-privacy-policy
1892,201905,201806,https://www.stelizabeth.com/patients-visitors/hipaa-notice-of-privacy-practices
2625,201904,201805,https://www.nigella.com/privacy-policy
361,201904,201805,https://www.discoverlosangeles.com/privacy-policy
