usid,sType,pType,pid
0,EU,pre,10145
1,EU,pre,10176
2,EU,pre,10301
3,EU,pre,1035
4,EU,pre,10453
5,EU,pre,10469
6,EU,pre,10501
7,EU,pre,10508
8,EU,pre,106
9,EU,pre,10603
10,EU,pre,1061
11,EU,pre,1096
12,EU,pre,1101
13,EU,pre,11114
14,EU,pre,11137
15,EU,pre,1119
16,EU,pre,1134
17,EU,pre,11424
18,EU,pre,1196
19,EU,pre,1202
20,EU,pre,1218
21,EU,pre,1229
22,EU,pre,12339
23,EU,pre,12388
24,EU,pre,12433
25,EU,pre,12434
26,EU,pre,12532
27,EU,pre,12665
28,EU,pre,12668
29,EU,pre,12708
30,EU,pre,12719
31,EU,pre,12790
32,EU,pre,12854
33,EU,pre,1295
34,EU,pre,12953
35,EU,pre,12996
36,EU,pre,13047
37,EU,pre,13143
38,EU,pre,13144
39,EU,pre,13168
40,EU,pre,1317
41,EU,pre,13205
42,EU,pre,13260
43,EU,pre,13269
44,EU,pre,1328
45,EU,pre,13280
46,EU,pre,13329
47,EU,pre,13355
48,EU,pre,13396
49,EU,pre,13403
50,EU,pre,13472
51,EU,pre,1352
52,EU,pre,13577
53,EU,pre,1372
54,EU,pre,1373
55,EU,pre,1386
56,EU,pre,1390
57,EU,pre,14336
58,EU,pre,1460
59,EU,pre,14603
60,EU,pre,1501
61,EU,pre,1566
62,EU,pre,15846
63,EU,pre,1596
64,EU,pre,160
65,EU,pre,16028
66,EU,pre,16281
67,EU,pre,16326
68,EU,pre,1647
69,EU,pre,16474
70,EU,pre,16491
71,EU,pre,16575
72,EU,pre,16740
73,EU,pre,16805
74,EU,pre,17079
75,EU,pre,1711
76,EU,pre,17132
77,EU,pre,1764
78,EU,pre,1794
79,EU,pre,1841
80,EU,pre,1891
81,EU,pre,1894
82,EU,pre,1916
83,EU,pre,19363
84,EU,pre,19396
85,EU,pre,1948
86,EU,pre,1989
87,EU,pre,20627
88,EU,pre,2089
89,EU,pre,2190
90,EU,pre,2198
91,EU,pre,2206
92,EU,pre,23078
93,EU,pre,23249
94,EU,pre,23283
95,EU,pre,23547
96,EU,pre,2376
97,EU,pre,24037
98,EU,pre,24275
99,EU,pre,24414
100,EU,pre,24417
101,EU,pre,2457
102,EU,pre,2510
103,EU,pre,2519
104,EU,pre,2599
105,EU,pre,26648
106,EU,pre,26687
107,EU,pre,27084
108,EU,pre,27086
109,EU,pre,2720
110,EU,pre,27630
111,EU,pre,27946
112,EU,pre,2816
113,EU,pre,28409
114,EU,pre,28688
115,EU,pre,28734
116,EU,pre,29102
117,EU,pre,2923
118,EU,pre,29278
119,EU,pre,2936
120,EU,pre,29694
121,EU,pre,297
122,EU,pre,29825
123,EU,pre,29869
124,EU,pre,30140
125,EU,pre,3123
126,EU,pre,32634
127,EU,pre,32775
128,EU,pre,32922
129,EU,pre,33177
130,EU,pre,33684
131,EU,pre,33746
132,EU,pre,33871
133,EU,pre,34114
134,EU,pre,34146
135,EU,pre,34469
136,EU,pre,34475
137,EU,pre,34562
138,EU,pre,34741
139,EU,pre,34842
140,EU,pre,34877
141,EU,pre,34994
142,EU,pre,35063
143,EU,pre,3602
144,EU,pre,3611
145,EU,pre,406
146,EU,pre,4131
147,EU,pre,4150
148,EU,pre,4275
149,EU,pre,4286
150,EU,pre,441
151,EU,pre,4420
152,EU,pre,5009
153,EU,pre,5063
154,EU,pre,5152
155,EU,pre,5236
156,EU,pre,5274
157,EU,pre,5528
158,EU,pre,5980
159,EU,pre,6026
160,EU,pre,634
161,EU,pre,6558
162,EU,pre,6569
163,EU,pre,6610
164,EU,pre,6639
165,EU,pre,671
166,EU,pre,6768
167,EU,pre,6780
168,EU,pre,6849
169,EU,pre,7014
170,EU,pre,7033
171,EU,pre,7047
172,EU,pre,707
173,EU,pre,7071
174,EU,pre,7134
175,EU,pre,7149
176,EU,pre,7165
177,EU,pre,7223
178,EU,pre,7305
179,EU,pre,7386
180,EU,pre,7397
181,EU,pre,7420
182,EU,pre,7473
183,EU,pre,7572
